Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
HTTP Request,750,16014,98,120553,29193.74,13.33%,6.2,20.37,3358.5
TOTAL,750,16014,98,120553,29193.74,13.33%,6.2,20.37,3358.5
